8.06567	-0.636806	0.320351
8.06569	-0.636803	0.321398
8.02598	-0.631859	0.320892
8.06568	-0.636796	0.32126
8.00614	-0.629411	0.321106
8.02599	-0.63189	0.321505
8.04583	-0.634323	0.320985
8.06567	-0.636797	0.320479
8.02598	-0.63186	0.32092
8.06568	-0.636777	0.320879
8.02598	-0.631859	0.320892
8.04583	-0.634318	0.320886
8.04583	-0.634324	0.321004
8.02594	-0.631824	0.318372
8.02597	-0.63189	0.321196
8.06569	-0.636666	0.322142
8.04581	-0.634116	0.319561
8.06564	-0.636632	0.318405
8.02595	-0.631766	0.318772
8.06564	-0.636695	0.318481
8.06563	-0.636667	0.317562
8.04579	-0.634219	0.317951
8.02594	-0.631773	0.318397
8.02594	-0.631749	0.317598
8.04578	-0.634208	0.31758
8.00609	-0.62929	0.317616
8.04578	-0.634208	0.31758
8.06563	-0.636667	0.317562
8.0259	-0.631749	0.315158
8.00607	-0.629341	0.316398
8.02586	-0.632032	0.314976
8.02586	-0.632017	0.314198
8.00603	-0.629548	0.315587
8.02589	-0.631988	0.315603
8.06559	-0.636891	0.315765
8.04574	-0.634432	0.315786
8.06559	-0.636891	0.315765
8.02589	-0.631973	0.315807
8.06559	-0.636891	0.315765
8.0259	-0.632	0.316347
8.06559	-0.636874	0.315888
8.02591	-0.631965	0.316715
8.04576	-0.634389	0.316739
8.02591	-0.631945	0.317018
8.06559	-0.636891	0.316147
8.06559	-0.636841	0.315621
8.04575	-0.634346	0.316009
8.04573	-0.634281	0.314576
8.02585	-0.631789	0.312814
8.0457	-0.63424	0.312675
8.04569	-0.634265	0.312121
8.06556	-0.636718	0.313274
8.00601	-0.62936	0.313235
8.02586	-0.6318	0.313336
8.0457	-0.634288	0.312723
8.02585	-0.631829	0.312755
7.98615	-0.626911	0.312819
8.02585	-0.631832	0.312853
8.0457	-0.634288	0.312723
8.06555	-0.63681	0.313391
8.02584	-0.631856	0.312567
8.04569	-0.634323	0.31248
8.02581	-0.6319	0.310845
8.02578	-0.631983	0.309608
8.06544	-0.636903	0.307162
8.08531	-0.639301	0.309149
8.06553	-0.636834	0.312621
8.06553	-0.636781	0.311987
